title,album,year,lyrics,cover,songwriters_parsed,vocals_parsed
And Your Bird Can Sing,Revolver,1966,"You tell me that you've got everything you want And your bird can sing But you don't get me, you don't get me You say you've seen seven wonders and your bird is green But you can't see me, you can't see me When your prized possessions start to wear you down Look in my direction, I'll be round, I'll be round When your bird is broken will it bring you down You may be awoken, I'll be round, I'll be round You tell me that you've heard every sound there is And your bird can swing But you can't hear me, you can't hear me",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon""]"
Anna (Go to Him),Please Please Me,1963,"Anna You come and ask me, girl To set you free, girl You say he loves you more than me So I will set you free Go with him (Anna) Go with him (Anna)  Anna Girl, before you go now I want you to know, now That I still love you so But if he loves you more Go with him  All of my life I've been searching for a girl To love me like I love you Oh, now, but every girl I've ever had Breaks my heart and leave me sad What am I, what am I supposed to do  Anna Just one more thing, girl You give back your ring to me, and I will set you free Go with him  All of my life I've been searching for a girl To love me like I love you But let me tell you now But every girl I've ever had Breaks my heart and leave me sad What am I, what am I supposed to do  Anna Just one more thing, girl You give back your ring to me, And I will set you free Go with him  (Anna) Go with him (Anna) You can go with him, girl (Anna) Go with him",True,"[""Arthur Alexander""]","[""Lennon""]"
Another Girl,Help!,1965,"For I have got another girl, Another girl. You're making me say that I've got Nobody but you. But as from today, well I've seen Somebody that's new. I ain't no fool an I don't take what I don't want For I have got another girl, Another girl. She's sweeter than all the girls and I've met quite a few. Nobody in all the world can Do what she can do. And so I'm telling you this time you better stop For I have got another girl, Another girl Who will love me to the end, Through thick and thin She will always be my friend. I don't wanna say that I've been Unhappy with you. But as from today well I've seen Somebody that's new. I ain't no fool an I don't take what I don't want For I have got another girl, Another girl, another girl",False,"[""Paul McCartney""]","[""McCartney""]"
Any Time at All,A Hard Day's Night,1964,"Any time at all, Any time at all, Any time at all, All you've gotta do is call and I'll be there. If you need somebody to love, Just look into my eyes, I'll be there to make you feel right. If you're feeling sorry and sad, I'd really sympathize. Don't you be sad, just call me tonight. Any time at all, Any time at all, Any time at all, All you've gotta do is call and I'll be there. If the sun has faded away, I'll try to make it shine, There's nothing I won't do If you need a shoulder to cry on, I hope it will be mine. Call me tonight, and I'll come to you. Any time at all, Any time at all, Any time at all, All you've gotta do is call and I'll be there. Any time at all, All you've gotta do is call and I'll be there.",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon""]"
Ask Me Why,Please Please Me,1963,"I love you, 'cause you tell me things I want to know. And it's true that it really only goes to show, That I know, That I, should never ever ever be blue. Now you're mine, my happiness still makes me cry. And in time, you'll understand the reason why, If I cry, It's not because I'm sad, But you're the only love that I've ever had. I can't believe it's happened to me. I can't conceive of any more misery. Ask me why, I'll say I love you, And I'm always thinking of you. I love you, 'cause you tell me things I want to know. And it's true that it really only goes to show, That I know, That I, should never ever ever be blue. Ask me why, I'll say I love you, And I'm always thinking of you. I can't believe it's happened to me. I can't conceive of any more misery. Ask me why, I'll say I love you, And I'm always thinking of you.",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon""]"
Baby It's You,Please Please Me,1963,"Sha la la la la la la la Sha la la la la la la la Sha la la la la la la la Sha la la la la  It\'s not the way you smile that touched my heart. (sha la la la la) It\'s not the way you kiss that tears me apart.  Uh, oh, many, many, many nights go by, I sit alone at home and I cry over you. What can I do. Can\'t help myself, \'cause baby, it\'s you. Baby, it\'s you.  You should hear what they say about you, ""cheat,"" ""cheat."" They say, they say you never never never ever been true. (cheat cheat)  Uh oh, It doesn\'t matter what they say, I know I\'m gonna love you any old way. What can I do, and it\'s true. Don\'t want nobody, nobody, \'cause baby, it\'s you. (sha la la la la la la) Baby, it\'s you. (sha la la la la la la)  Uh oh, It doesn\'t matter what they say, I know I\'m gonna love you any old way. What can I do, when it\'s true. Don\'t want nobody, nobody, \'cause baby, it\'s you. (sha la la la la la la) Baby, it\'s you. (sha la la la la la la) Don\'t leave me all alone...",True,"[""Burt Bacharach"", ""Hal David"", ""Luther Dixon""]","[""Lennon""]"
"Baby, You're a Rich Man",Magical Mystery Tour,1967,"How does it feel to be One of the beautiful people? Now that you know who you are What do you want to be? And have you travelled very far? Far as the eye can see. How does it feel to be One of the beautiful people? How often have you been there? Often enough to know. What did you see, when you were there? Nothing that doesn't show. Baby you're a rich man, Baby you're a rich man, Baby you're a rich man too. You keep all your money in a big brown bag inside a zoo. What a thing to do. Baby you're a rich man, Baby you're a rich man, Baby you're a rich man too. How does it feel to be One of the beautiful people? Tuned to A natural E Happy to be that way. Now that you've found another key What are you going to play? Baby you're a rich man, Baby you're a rich man, Baby you're a rich man too. You keep all your money in a big brown bag inside a zoo. What a thing to do. Baby you're a rich man...",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon""]"
Baby's in Black,Beatles for Sale,1964,"Oh dear, what can I do? Baby's in black and I'm feeling blue, Tell me, oh what can I do? She thinks of him, And so she dresses in black, And though he'll never come back, She's dressed in black. Oh dear, what can I do? Baby's in black and I'm feeling blue, Tell me, oh what can I do? I think of her, but she only thinks of him, And though it's only a whim, she thinks of him. Oh how long will it take, Till she sees the mistake she has made? Dear what can I do? Baby's in black and I'm feeling blue, Tell me, oh what can I do? Oh how long it will take, Till she sees the mistake she has made? Dear what can I do? Baby's in black and I'm feeling blue, Tell me, oh what can I do? She thinks of him, And so she dresses in black, And though he'll never come back, She's dressed in black. Oh dear, what can I do? Baby's in black and I'm feeling blue, Tell me, oh what can I do?",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney""]"
Back in the U.S.S.R.,The Beatles,1968,"Oh, flew in from Miami Beach B. O. A. C. Didn't get to bed last night On the way the paper bag was on my knee Man I had a dreadful flight I'm back in the you. S. S. Are. You don't know how lucky you are boy Back in the you. S. S. Are. (Yeah)  Been away so long I hardly knew the place Gee it's good to be back home Leave it till tomorrow to unpack my case Honey disconnect the phone I'm back in the you. S. S. Are. You don't know how lucky you are boy Back in the you. S. Back in the you. S. Back in the you. S. S. Are.  Well the Ukraine girls really knock me out They leave the West behind And Moscow girls make me sing and shout That Georgia's always on my mind  Aw come on! Ho yeah! Ho yeah! Ho ho yeah! Yeah yeah!  Yeah I'm back in the you. S. S. Are. You don't know how lucky you are boys Back in the you. S. S. Are.  Well the Ukraine girls really knock me out They leave the West behind And Moscow girls make me sing and shout That Georgia's always on my mind  Oh, show me around your snow-peaked mountains way down south Take me to your daddy's farm Let me hear your balalaika's ringing out Come and keep your comrade warm I'm back in the you. S. S. Are. Hey you don't know how lucky you are boys Back in the you. S. S. Are.  Oh let me tell you, honey Hey, I'm back! I'm back in the you. S. S. Are. Yes, I'm free! Yeah, back in the you. S. S. Are.  Ha ha",False,"[""Paul McCartney""]","[""McCartney""]"
Bad Boy,A Collection of Beatles Oldies,1965,"A bad little kid moved into my neighborhood He won't do nothing right just sitting down and looks so good He don't want to go to school and learn to read and write Just sits around the house and plays the rock and roll music all night Well, he put some tacks on teachers chair Puts chewing gum in little girl's hair Hey, junior, behave yourself Buys every rock and roll book on the magazine stand Every dime that he get is lost to the jukebox man Well he worries his teacher till at night she's ready to poop From rocking and a-rolling spinning in a hula hoop Well this rock and roll has got to stop Junior's head is hard as rock Now, junior, behave yourself Going tell your mama you better do what she said Get to the barber shop and get that hair cut off your head Threw the canary and you fed it to the neighbors cat You gave the cocker spaniel a bath in mother's laundramat Well, mama's head has got to stop Junior's head is hard as rock Now, junior, behave yourself",True,"[""Larry Williams""]","[""Lennon""]"
Bad to Me,The Beatles Bootleg Recordings 1963,1963,"If you ever leave me, I'll be sadand blue Don't you ever leave me, I'm so in love with you The birds in the sky would be sad and lonely, If they knew that I lost my one and only, They'd be sad if you're bad to me The leaves on the trees would be softly sighin If they heard from the breeze that you left me crying, They'd be sad, don't be bad to me But I know you won't leave me cause you told me so, And I've no intention of letting you go, Just as long as you let me know, you won't be bad to me So the birds in the sky won't be sad and lonely, Cause they know I got my one and only They'd be glad that you're not bad to me But I know you won't leave me cause you told me so, And I've no intention of letting you go, Just as long as you let me know, you won't be bad to me So the birds in the sky won't be sad and lonely, "" Cos they know I got my one and only They'd be glad that you're not bad to me, They'd be glas that you're not bad to me, to me, to me",False,"[""John Lennon""]","[""Lennon""]"
The Ballad of John and Yoko,1967-1970,1969,"Standing in the dock at Southampton Trying to get to Holland or France The man in the mac said, ""You\'ve got to go back"" You know they didn\'t even give us a chance  Christ you know it ain\'t easy You know how hard it can be The way things are going They\'re going to crucify me  Finally made the plane into Paris Honeymooning down by the Seine Peter Brown called to say ""You can make it OK You can get married in Gibraltar, near Spain""  Christ you know it ain\'t easy You know how hard it can be The way things are going They\'re going to crucify me  Drove from Paris to the Amsterdam Hilton Talking in our beds for a week The newspapers said, ""Say what you doing in bed?"" I said, ""We\'re only trying to get us some peace""  Christ you know it ain\'t easy You know how hard it can be The way things are going They\'re going to crucify me  Saving up your money for a rainy day Giving all your clothes to charity Last night the wife said ""Oh boy, when you\'re dead You don\'t take nothing with you But your soul, think!""  Made a lightning trip to Vienna Eating chocolate cake in a bag The newspapers said, ""She\'s gone to his head They look just like two gurus in drag""  Christ you know it ain\'t easy You know how hard it can be The way things are going They\'re going to crucify me  Caught an early plane back to London Fifty acorns tied in a sack The men from the press said, ""We wish you success It\'s good to have the both of you back""  Christ you know it ain\'t easy You know how hard it can be The way things are going They\'re going to crucify me The way things are going They\'re going to crucify me",False,"[""John Lennon""]","[""Lennon"", ""McCartney""]"
Beautiful Dreamer,On Air – Live at the BBC Volume 2,1963,,True,"[""Stephen Foster""]","[""McCartney""]"
Because,Abbey Road,1969,"(Lennon/Mccartney) Aaaaaahhhhhh... Because the world is round it turns me on Because the world is round... Aaaaaahhhhhh Because the wind is high it blows my mind Because the wind is high... Aaaaaaaahhhh Love is all, love is new Love is all, love is you Because the sky is blue, it makes me cry Because the sky is blue... Aaaaaaaahhhh Aaaaahhhhhhhhhh... Aaaaahhhhhhhhhh... Aaaaahhhhhhhhhh...",False,"[""John Lennon""]","[""Harrison"", ""Harrison"", ""Harrison""]"
Because I Know You Love Me So,Let It Be... Naked - Fly on the Wall bonus disc,1969,Wake up in the morning I don't feel blue Cause I know I got you Get a funny feeling all day and night I get the funny feeling you don't treat me right  Should have read your letters And then I'd know I would have felt much better Because I know you love me so  Wake up in the morning I don't feel blue Cause I know I got you Get a funny feeling all day and night I get the funny feeling you don't treat me right Should have read your letters And then I'd know I would have felt much better Because I know you love me so ,False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon"", ""McCartney""]"
Being for the Benefit of Mr. Kite!,Sgt. Pepper's Lonely Hearts Club Band,1967,"For the benefit of Mr. Kite There will be a show tonight on trampoline  The Hendersons will all be there Late of Pablo Fanques Fair, what a scene!  Over men and horses hoops and garters Lastly through a hogshead of real fire! In this way Mr. Kite will challenge the world!  The celebrated Mr. Kite Performs his feat on Saturday at Bishopsgate  The Hendersons will dance and sing As Mr. Kite flys through the ring, don't be late!  Messrs. K and H assure the public Their production will be second to none And of course Henry The Horse dances the waltz!  The band begins at ten to six When Mr. Kite performs his tricks without a sound  And Mr. H will demonstrate Ten summersets he'll undertake on solid ground  Having been some days in preparation A splendid time is guaranteed for all And tonight Mr. Kite is topping the bill!",False,"[""John Lennon"", ""Paul McCartney""]","[""Lennon""]"
Bésame Mucho,Anthology 1,1962,,True,"[""Consuelo Velázquez"", ""Sunny Skylar""]","[""McCartney""]"
Birthday,The Beatles,1968,"(Lennon/Mccartney) They say it's your birthday It's my birthday too, yeah They say it's your birthday We're gonna have a good time I'm glad it's your birthday Happy birthday to you Ah Ah Ah Come on Come on Yes we're going to a party party Yes we're going to a party party Yes we're going to a party party I would like you to dance (Birthday) Take a cha-cha-cha-chance (Birthday) I would like you to dance (Birthday) Dance yeah Oh Come on I would like you to dance (Birthday) Take a cha-cha-cha-chance (Birthday) I would like you to dance (Birthday) Oh dance! Dance They say it's your birthday Well it's my birthday too, yeah They say it's your birthday We're gonna have a good time I'm glad it's your birthday Happy birthday to you",False,"[""John Lennon"", ""Paul McCartney""]","[""McCartney"", ""Lennon""]"
Blackbird,The Beatles,1968,Blackbird singing in the dead of night Take these broken wings and learn to fly All your life You were only waiting for this moment to arise. Blackbird singing in the dead of night Take these sunken eyes and learn to see All your life You were only waiting for this moment to be free. Blackbird fly blackbird fly Into the light of the dark black night. Blackbird fly blackbird fly Into the light of the dark black night. Blackbird singing in the dead of night Take these broken wings and learn to fly All your life You were only waiting for this moment to arise You were only waiting for this moment to arise You were only waiting for this moment to arise.,False,"[""Paul McCartney""]","[""McCartney""]"
Blue Jay Way,Magical Mystery Tour,1967,There's a fog upon L. A. And my friends have lost their way We'll be over soon they said Now they've lost themselves instead. Please don't be long please don't you be very long Please don't be long or I may be asleep Well it only goes to show And I told them where to go Ask a policeman on the street There's so many there to meet Please don't be long please don't you be very long Please don't be long or I may be asleep Now it's past my bed I know And I'd really like to go Soon will be the break of day Sitting here in Blue Jay Way Please don't be long please don't you be very long Please don't be long or I may be asleep. Please don't be long please don't you be very long Please don't be long (2 times more) Don't be long Don't be long,False,"[""George Harrison""]","[""Harrison""]"
Boys,Please Please Me,1963,"I been told when a boy kisses girl, Takes a trip around the world, Hey, hey (3 times) Yeah, she say you do. My girl says when I kiss her lips, Gets a thrill through her fingertips, Hey, hey (3 times) Yeah, she say you do. Well, I talk about boys, Don't ya know I mean boys, Well, I talk about boys, now, Well, I talk about boys, now, What a bundle of joy",True,"[""Luther Dixon"", ""Wes Farrell""]","[""Starr""]"
Can't Buy Me Love,A Hard Day's Night,1964,"Can't buy me love, love Can't buy me love I'll buy you a diamond ring my friend if it makes you feel alright I'll get you anything my friend if it makes you feel alright 'Cause I don't care too much for money, money can't buy me love I'll give you all I got to give if you say you love me too I may not have a lot to give but what I got I'll give to you I don't care too much for money, money can't buy me love Can't buy me love, everybody tells me so Can't buy me love, no no no, no Say you don't need no diamond ring and I'll be satisfied Tell me that you want the kind of thing that money just can't buy I don't care too much for money, money can't buy me love",False,"[""Paul McCartney""]","[""McCartney"", ""Lennon""]"
Carol,Live at the BBC,1963,"Oh Carol, don't let him Steal your heart away Well I've got to learn to dance If it takes me all night and day Well come into my machine So we can move on out I know a jumping little joint Where we can jump and shout It's not too far back on the highway Not too long a ride Well you take your car along And you park it outside A little cutie takes your hat And you can thank her, ma'am Well every time you're gonna drive You find the joint is jammed Oh Carol, don't let him Steal your heart away Well I've got to learn to dance If it takes me all night and day Auw Auw Well if you want to hear some music Like the boys all play Hold tight, tap your foot Don't let it carry you away Don't let the heat overcome you Cos they play so loud While the music will treat you When they get a crowd Well you can dance I know you will, you thought I got my eyes on you baby Cos you dance so good Don't let him Steal your heart away I've got to learn to dance If it takes me all night and day Well I've got to learn to dance If it takes you all night and day",True,"[""Chuck Berry""]","[""Lennon""]"
Carry That Weight,Abbey Road,1969,"Boy, you gotta carry that weight Carry that weight a long time Boy, you gotta carry that weight Carry that weight a long time I never give you my pillow I only send you my invitation And in the middle of the celebrations I break down Boy, you gotta carry that weight Carry that weight a long time Boy, you gotta carry that weight Carry that weight a long time",False,"[""Paul McCartney""]","[""Lennon, Harrison,"", ""Starr"", ""(with Lennon"", ""Harrison"", ""and Starr)"", ""Lennon, Harrison,"", ""Starr"", ""(with Lennon"", ""Harrison"", ""and Starr)""]"
Catswalk,,1962,,False,"[""Paul McCartney""]",[]
Cayenne,Anthology 1,1960,,False,"[""Paul McCartney""]","[""Instrumental""]"
Chains,Please Please Me,1963,"Chains, my baby's got me locked up in chains. And they ain't the kind, That you can see. Ooh these chains of love, got a hold on me, yeah. Chains, well I can't break away from these chains. Can't run around, 'cause I'm not free. Ooh, these chains of love won't let me be, yeah. I wanna tell you, pretty baby, I think you're fine. I'd like to love you, But, darling, I'm imprisoned by these Chains, My baby's got me locked up in chains, And they ain't the kind, That you can see, Ooh, these chains of love got a hold on me. Please believe me when I tell you, Your lips are sweet. I'd like to kiss them, But I can't break away from all of these Chains, My baby's got me locked up in chains. And they ain't the kind, That you can see. Ooh, these chains of love got a hold on me, yeah. Chains, chains of love, chains of love (fade)",True,"[""Gerry Goffin"", ""Carole King""]","[""Harrison"", ""(with Lennon"", ""McCartney)""]"
Child of Nature,Let It Be... Naked - Fly on the Wall bonus disc,1968,I was dreaming of the past And my heart was beating fast I began to lose control I began to lose control I didn't mean to hurt you I'm sorry that I made you cry Oh well I didn't want to hurt you I'm just a jealous guy I was feeling insecure You might not love me any more I was shivering inside I was shivering inside I didn't mean to hurt you I'm sorry that I made you cry Oh well I didn't want to hurt you I'm just a jealous guy I was tryin' to catch your eyes Thought that you was tryin' to hide I was swallowing my pain I was swallowing my pain I didn't mean to hurt you I'm sorry that I made you cry Oh well I didn't want to hurt you I'm just a jealous guy Watch out I'm just a jealous guy Look out baby I'm just a jealous guy,False,"[""John Lennon""]","[""Lennon""]"
Christmas Time (Is Here Again),The Beatles' Christmas Album,1967,"Christmas time is here again Christmas time is here again Christmas time is here again Christmas time is here again  Ain\'t been round since you know when Christmas time is here again O-U-T spells ""out""  Christmas time is here again Christmas time is here again Christmas time is here again Christmas time is here again  Ain\'t been round since you know when Christmas time is here again O-U-T spells ""out""  Christmas time is here again Christmas time is here again Christmas time is here again Christmas time is here again  Ain\'t been round since you know when Christmas time is here again O-U-T spells ""out"" This is Paul McCartney here. I\'d just like to wish you everything you\'d wish yourself for Christmas This is John Lennon saying, on behalf of The Beatles, have a very Happy Christmas and a good New Year George Harrison speaking. I\'d like to take this opportunity of wishing you a very Merry Christmas, listeners everywhere This is Ringo Starr and I\'d just like to say Merry Christmas and a really happy New Year to all listeners  And Christmas time is all And your bonnie clay us through Happy breastling to you people All our best from me to you When the beasty brangom To the heather and little inn And be strattened oot in ma tether To yer arms once back again Och away, ye bonnie",False,"[""John Lennon"", ""Paul McCartney"", ""George Harrison"", ""Ringo Starr""]","[""Lennon"", ""McCartney"", ""Harrison"", ""Starr""]"
Circles,,1968,"Friends come And friends go As I go round and round in circles  Love someone, change your mind Decide he was a swine As you go round and round in circles  He who knows does not speak He who speaks does not know And I go round in circles Dislike someone and will not bend Later they may become your best friend As life it goes round in circles  [Incomprehensible]  He who knows does not speak He who speaks does not know And I know that I go round in circles  Soul takes on a body with each birth we make our date With life and death along the road the soul reincarnates The show goes round and round in circles  When loss and gain and up and down Becomes the same, then we stop going in circles Round and round in circles Round and round and round [Incomprehensible] circles Round and round [Incomprehensible] circles Round and round and round in circles Dislike someone and will not bend Later they may become your best friend As life it goes round in circles  [Incomprehensible]  He who knows does not speak He who speaks does not know And I know that I go round in circles  Soul takes on a body with each birth we make our date With life and death along the road the soul reincarnates The show goes round and round in circles  When loss and gain and up and down Becomes the same, then we stop going in circles Round and round in circles Round and round and round [Incomprehensible] circles Round and round [Incomprehensible] circles Round and round and round in circles",False,"[""George Harrison""]","[""Harrison""]"
Clarabella,Live at the BBC,1963,"Well, I got a baby crazy for me Yeah, I got a baby won't let me be Who, baby baby, Clarabella Baby baby, Clarabella Baby baby, wo wo, yeah uh Well, she needs no coaching on making love All she needs is the stars up above Who, baby baby, Clarabella Baby baby, Clarabella Baby baby, wo wo, yeah uh Ahh! Woo hoo Well now, Clarabella You're my honey, Clarabella Ooh yeah now, Clarabella I said you're my baby Clarabella Yeah, Clarabella, baby Wo wo, yeah yeh Well, she's got no time for a dungeries Already knows her abc's Who, baby baby, Clarabella Baby baby, Clarabella Baby baby, wo wo, yeah yeh Ahh ow! Woo Well now, Clarabella Yeah, you're my honey, Clarabella Woo ooh, you're my baby, Clarabella You're my honey, Clarabella Yeah, Clarabella, baby Wo wo, yeah heh yeah, oh yeah",True,"[""Mike Pingitore""]","[""McCartney""]"
Come and Get It,Anthology 3,1969,"If you want it, here it is Come and get it Make your mind up fast If you want it anytime I can give it But you better hurry 'cause it may not last Did I hear you say that there must be a catch? Will you walk away from a fool and his money? If you want it, here it is Come and get it But you better hurry 'cause it's going fast If you want it, here it is Come and get it Make your mind up fast If you want it anytime I can give it But you'd better hurry 'cause it may not last Did I hear you say that there must be a catch? Will you walk away from a fool and his money? Sonny, if you want it, here it is Come and get it But you'd better hurry 'cause it's going fast You'd better hurry 'cause it's going fast Woo, fool that is money Sorry, if you want it, here it is Come and get it But you'd better hurry 'cause it's going fast You'd better hurry 'cause it's going fast You'd better hurry 'cause it's going fast",False,"[""Paul McCartney""]","[""McCartney""]"
Come Together,Abbey Road,1969,"Here come old flattop he come grooving up slowly He got juju eyeball he one holy roller He got hair down to his knee Got to be a joker he just do what he please He wear no shoeshine he got toe-jam football He got monkey finger he shoot coca-cola He say ""I know you, you know me"" One thing I can tell you is you got to be free Come together right now over me He bag production he got walrus gumboot He got ono sideboard he one spinal cracker He got feet down below his knee Hold you in his armchair you can feel his disease Come together right now over me He roller-coaster he got early warning He got muddy water he one mojo filter He say ""one and one and one is three"" Got to be good-looking 'cause he's so hard to see Come together right now over me",False,"[""John Lennon""]","[""Lennon""]"
The Continuing Story of Bungalow Bill,The Beatles,1968,"Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill?  He went out tiger hunting with his elephant and gun In case of accidents he always took his mom He\'s the all American bullet-headed Saxon mother\'s son All the children sing  Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill?  Deep in the jungle where the mighty tiger lies Bill and his elephants were taken by surprise So Captain Marvel zapped in right between the eyes, zap! All the children sing  Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill?  The children asked him if to kill was not a sin ""Not when he looked so fierce"", his mummy butted in If looks could kill it would have been us instead of him All the children sing  Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill?  Oh ho!  Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill?  Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill?  Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill?",False,"[""John Lennon""]","[""Lennon""]"
